time: 1635724961.628184, hand opened
time: 1635724998.458966, hand closed
time: 1635724998.781604, hand opened
time: 1635724999.756906, hand closed
time: 1635724999.925407, hand opened
time: 1635725000.651198, hand closed
time: 1635725000.829298, hand opened
time: 1635725004.914887, hand closed
time: 1635725005.010988, hand opened
time:1638833144.371475,digit:3,change:1
time:1638833144.618079,digit:0,change:0
time:1638833144.618079,digit:1,change:0
time:1638833144.618079,digit:2,change:0
time:1638833144.618079,digit:3,change:0
time:1638833145.706912,digit:4,change:1
time:1638833145.79483,digit:4,change:0
time:1638833146.180535,digit:0,change:1
time:1638833146.264718,digit:0,change:0
time:1638833146.264718,digit:4,change:1
time:1638833146.3830929,digit:4,change:0
time:1638833146.58054,digit:0,change:1
time:1638833146.58054,digit:4,change:1
time:1638833146.6773918,digit:0,change:0
time:1638833146.761358,digit:0,change:1
time:1638833146.761358,digit:1,change:1
time:1638833146.761358,digit:4,change:0
time:1638833146.897503,digit:2,change:1
time:1638833146.897503,digit:3,change:1
time:1638833147.11748,digit:0,change:0
time:1638833147.11748,digit:1,change:0
time:1638833147.245803,digit:2,change:0
time:1638833147.245803,digit:3,change:0
time:1638833147.346602,digit:4,change:1
time:1638833147.4348931,digit:4,change:0
time:1638833147.778566,digit:4,change:1
time:1638833147.868094,digit:0,change:1
time:1638833147.963806,digit:0,change:0
time:1638833147.963806,digit:4,change:0
time:1638833148.089644,digit:4,change:1
time:1638833148.2057269,digit:4,change:0
time:1638833148.884213,digit:0,change:1
time:1638833148.884213,digit:1,change:1
time:1638833148.884213,digit:2,change:1
time:1638833148.884213,digit:3,change:1
time:1638833149.0620039,digit:0,change:0
time:1638833149.0620039,digit:1,change:0
time:1638833149.0620039,digit:2,change:0
time:1638833149.0620039,digit:3,change:0
time:1638833149.790848,digit:4,change:1
time:1638833149.9100008,digit:4,change:0
time:1638833150.133043,digit:4,change:1
time:1638833150.328193,digit:0,change:1
time:1638833150.328193,digit:1,change:1
time:1638833150.328193,digit:2,change:1
time:1638833150.328193,digit:3,change:1
time:1638833150.328193,digit:4,change:0
time:1638833150.8763819,digit:0,change:0
time:1638833150.8763819,digit:1,change:0
time:1638833150.8763819,digit:2,change:0
time:1638833150.8763819,digit:3,change:0
time:1638833151.0333571,digit:4,change:1
time:1638833151.139732,digit:4,change:0
time:1638833151.32078,digit:0,change:1
time:1638833151.32078,digit:1,change:1
time:1638833151.32078,digit:2,change:1
time:1638833151.32078,digit:3,change:1
time:1638833151.484389,digit:0,change:0
time:1638833151.484389,digit:1,change:0
time:1638833151.484389,digit:2,change:0
time:1638833151.484389,digit:3,change:0
time:1638833152.61663,digit:4,change:1
time:1638833152.739284,digit:4,change:0
time:1638833153.999528,digit:0,change:1
time:1638833153.999528,digit:1,change:1
time:1638833153.999528,digit:2,change:1
time:1638833153.999528,digit:3,change:1
time:1638833155.085139,digit:0,change:0
